invariant_id,domain,title,severity,owner_role,status,supersedes_invariant_id
INV-GLOBAL-SEC-001,SEC,Secret scan must pass before ship,critical,Security Steward,active,
INV-GLOBAL-SEC-002,SEC,External-content ingestion must be treated as untrusted,high,Security Steward,active,
INV-GLOBAL-GOV-001,GOV,Any red release gate blocks publish,critical,Team Lead,active,
INV-GLOBAL-BUD-001,BUD,No run without declared budget envelope,critical,Team Lead,active,
INV-GLOBAL-BUD-002,BUD,Cap exceedance must force blocked state,critical,Team Lead,active,
INV-GLOBAL-ROL-001,ROL,Safety-critical decisions require explicit authority owner,critical,Team Lead,active,
INV-GLOBAL-ROL-002,ROL,Role conflict beyond SLA auto-blocks safety decisions,high,Team Lead,active,
INV-GLOBAL-EVD-001,EVD,Externally-facing claims require evidence or explicit caveat,critical,Product Steward,active,
INV-GLOBAL-AUD-001,AUD,Gate and exception logs are append-only,high,Platform Architect,active,
INV-GLOBAL-CHG-001,CHG,Architecture-impacting changes require ADR before merge,high,Platform Architect,active,
INV-GLOBAL-OPS-001,OPS,Kill-switch safe mode blocks external publish,critical,Team Lead,active,
INV-GLOBAL-OPS-002,OPS,Critical incidents require 60-minute containment actions,high,Security Steward,active,
INV-GLOBAL-GOV-002,GOV,External publish requires two-person signoff,critical,Team Lead,active,
INV-GLOBAL-EVD-002,EVD,Unsupported claims cannot be marked safe-to-say,critical,Product Steward,active,
INV-GLOBAL-AUD-002,AUD,Run artifacts must retain reconstructable lineage,high,Platform Architect,active,
